game_id,period_id,episode_id,time_seconds,team_id,player_id,action_id,type_name,result_name,start_x,start_y,end_x,end_y,is_home,game_episode,result_filled,type_filled,type_result_combo,type_group,delta_x,delta_y,event_distance,start_quadrant,end_quadrant,start_x_norm,start_y_norm,end_x_norm,end_y_norm,event_idx,episode_event_count,episode_progress_ratio,delta_time_prev,delta_time_next,prev_type_name,prev_result_filled,attack_progress_momentum,dynamic_pressure_index,pitch_control_margin,forward_control_ratio,pass_availability_score,player_vx,player_vy,player_ax,player_ay,off_ball_energy
126283,1,11,768.933,2354,142106,469,Interception,,58.574775,6.542824000000003,58.574775,6.542824000000003,True,126283_11,NoResult,Interception,Interception__NoResult,Defensive,0.0,0.0,0.0,Q10,Q10,0.557855,0.062312609523809556,0.557855,0.062312609523809556,0,1,0.0,0.0,0.0,START,START,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
126283,1,23,1571.892,2354,500147,950,Pass,Successful,54.88475999999999,26.561208,51.724155,33.160676,True,126283_23,Successful,Pass,Pass__Successful,Pass,-3.1606049999999897,6.599468000000002,7.317267375806965,Q10,Q10,0.522712,0.25296388571428574,0.492611,0.3158159619047619,0,1,0.0,0.0,0.0,START,START,-3.05625570228,0.0,0.003167262526631857,1.0,1.0,-0.0,-0.0,0.0,0.0,0.0
126283,2,41,61.10099999999991,2354,500147,1664,Carry,,42.34818,0.8838640000000026,39.82482,3.734696,True,126283_41,NoResult,Carry,Carry__NoResult,Carry,-2.5233599999999967,2.8508319999999974,3.807175958873449,Q10,Q10,0.403316,0.008417752380952406,0.379284,0.03556853333333333,0,1,0.0,0.0,0.0,START,START,-1.0879439380881848,0.0,0.016555535329356448,1.0,1.0,0.008298024015234398,0.016995960394257045,-5.492502943977292e-06,-1.1249709850175863e-05,1.2518928081219375e-05
126283,2,58,1581.5529999999997,4639,412018,2467,Carry,,91.88256,63.6196168,86.218965,66.425732,False,126283_58,NoResult,Carry,Carry__NoResult,Carry,-5.663595000000001,2.8061151999999936,6.320647976251803,Q21,Q21,0.875072,0.6059011123809525,0.821133,0.6326260190476191,0,1,0.0,0.0,0.0,START,START,-5.26681770307277,6.895159858783807e-67,-2.8816158543070223e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0
126283,2,59,1665.2700000000004,4639,407605,2497,Pass,Successful,44.54499,40.489376,33.96214499999999,29.98358,False,126283_59,Successful,Pass,Pass__Successful,Pass,-10.582845000000006,-10.505796,14.912020583664749,Q11,Q00,0.424238,0.38561310476190475,0.32344899999999993,0.28555790476190474,0,1,0.0,0.0,0.0,START,START,-11.159012145188303,5.4945272429375805e-08,-0.015310268188743295,1.0,1.0,0.0,0.0,0.0,0.0,0.0
126283,2,68,2058.8,4639,491803,2746,Pass,Successful,69.583185,19.491656,85.590015,0.0,False,126283_68,Successful,Pass,Pass__Successful,Pass,16.006829999999994,-19.491656,25.221880585539925,Q10,Q20,0.662697,0.18563481904761903,0.815143,0.0,0,1,0.0,0.0,0.0,START,START,-8.991599001293903,4.888543235652519e-07,-0.04295232550333612,4.963468449805908e-09,1.0,-0.0,-0.0,0.0,0.0,0.0
126283,1,8,495.767,2354,500147,291,Pass,Successful,50.645175,9.515036000000002,55.60274999999999,0.0597719999999952,True,126283_8,Successful,Pass,Pass__Successful,Pass,4.957574999999991,-9.455264000000007,10.676121355170194,Q10,Q10,0.482335,0.0906193904761905,0.52955,0.0005692571428570971,0,1,0.0,0.0,0.0,START,START,-1.2684594249769274,8.81550149810601e-12,0.5179821494781474,0.7371846675814112,1.0,0.01908820795737417,0.019857021253100075,2.4824080885414934e-05,6.582205322806544e-06,2.5681908393209527e-05
126284,1,22,1492.368,4640,61913,825,Carry,,60.606735,59.41534,67.47846,63.7403712,True,126284_22,NoResult,Carry,Carry__NoResult,Carry,6.871724999999998,4.325031199999998,8.11951349260523,Q11,Q11,0.577207,0.565860380952381,0.642652,0.6070511542857143,0,1,0.0,0.0,0.0,START,START,2.6986963576885064,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0
126284,1,24,1599.867,4640,354804,861,Pass,Successful,72.19527000000001,57.460476,67.596375,52.92678,True,126284_24,Successful,Pass,Pass__Successful,Pass,-4.598895000000013,-4.533695999999999,6.457881590850138,Q21,Q11,0.6875740000000001,0.5472426285714286,0.643775,0.5040645714285714,0,1,0.0,0.0,0.0,START,START,-2.0564853988168847,0.0,0.14686041046673332,1.0,1.0,-0.0,-0.0,0.0,0.0,0.0
126284,1,27,1798.776,4657,500484,951,Carry,,52.790955,28.179064000000004,56.76006,19.593180000000004,False,126284_27,NoResult,Carry,Carry__NoResult,Carry,3.969105000000006,-8.585884,9.45892163845758,Q10,Q10,0.502771,0.26837203809523813,0.540572,0.18660171428571432,0,1,0.0,0.0,0.0,START,START,1.3461855334624495,9.657262253557402e-26,-5.935239814447072e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0
126284,1,28,2017.172,4640,246402,1103,Pass,Successful,48.936405,20.493160000000003,37.43334,28.962016,True,126284_28,Successful,Pass,Pass__Successful,Pass,-11.503065,8.468855999999995,14.28432799759796,Q10,Q10,0.466061,0.19517295238095242,0.356508,0.2758287238095238,0,1,0.0,0.0,0.0,START,START,-10.841504498185198,0.016452797132727164,-0.358145860227494,1.0,0.0,-0.0,-0.0,0.0,0.0,0.0
126285,2,100,2898.2340000000004,316,143410,2775,Carry,,69.64660500000001,50.29484,68.866455,47.035464,False,126285_100,NoResult,Carry,Carry__NoResult,Carry,-0.7801500000000061,-3.259376000000003,3.3514423658890555,Q11,Q11,0.663301,0.4789984761904762,0.655871,0.4479568,0,1,0.0,0.0,0.0,START,START,0.37221523720862226,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0
126285,2,103,3165.8330000000005,4648,500142,2849,Recovery,,18.19755,31.85188,18.19755,31.85188,True,126285_103,NoResult,Recovery,Recovery__NoResult,Defensive,0.0,0.0,0.0,Q00,Q00,0.17331,0.3033512380952381,0.17331,0.3033512380952381,0,1,0.0,0.0,0.0,START,START,0.0,8.465873801934618e-73,-9.592193864940337e-19,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0
126285,1,26,1720.954,316,77579,783,Carry,,11.96244,53.683688,13.243859999999998,57.17814,False,126285_26,NoResult,Carry,Carry__NoResult,Carry,1.2814199999999971,3.4944520000000026,3.7219930140590014,Q01,Q01,0.113928,0.511273219047619,0.126132,0.5445537142857143,0,1,0.0,0.0,0.0,START,START,0.3865585050642274,3.649064398417316e-13,-0.0007772225310547929,1.0,1.0,-0.0,-0.0,0.0,0.0,0.0
126285,2,72,1260.9,4648,369783,2026,Pass,Successful,23.23377,50.404116,15.876315,52.571412,True,126285_72,Successful,Pass,Pass__Successful,Pass,-7.357455,2.1672960000000003,7.6700271204632,Q01,Q01,0.221274,0.4800392,0.151203,0.5006801142857144,0,2,0.0,0.0,276.70100000000025,START,START,-7.644860185250873,0.0004734469484547162,-0.14160771405860706,0.0,1.0,0.0,0.0,0.0,0.0,0.0
126285,2,72,1537.6010000000003,4648,369783,2141,Carry,,43.593165,24.951988,54.89084999999999,43.215156,True,126285_72,NoResult,Carry,Carry__NoResult,Carry,11.297684999999994,18.263168,21.475124953197568,Q10,Q11,0.415173,0.23763798095238095,0.52277,0.4115729142857143,1,2,0.5,276.70100000000025,0.0,Pass,Successful,7.80812126474628,1.3384433176191099e-32,6.685486030217541e-05,0.0,1.0,0.07357904380540721,-0.09198422846321473,0.0002659153519698416,-0.00033243186133485116,3.9369678879422047e-28
126285,2,94,2617.8,316,143410,2632,Duel,Successful,70.91153999999999,29.322824,70.91153999999999,29.322824,False,126285_94,Successful,Duel,Duel__Successful,Duel,0.0,0.0,0.0,Q20,Q20,0.6753479999999998,0.27926499047619047,0.6753479999999998,0.27926499047619047,0,1,0.0,0.0,0.0,START,START,0.0,3.4110346336858846e-19,0.0021504343714295105,1.0,0.5,-0.0045106335180469526,0.07478414172318615,1.6084474486142726e-05,-0.00026667287747985654,0.00026715750766707257
